countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
CAF,Central African Republic,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,7.285887393,
CAF,Central African Republic,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,1130.874287,
CAF,Central African Republic,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.386,
CAF,Central African Republic,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,50.596,
CAF,Central African Republic,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,3.9531639,
CAN,Canada,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,13.84199982,
CAN,Canada,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,81.654,
CAN,Canada,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.931,
CAN,Canada,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,50924.73351,
CAN,Canada,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,15.94466972,
CHE,Switzerland,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,16.43366051,
CHE,Switzerland,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,74518.43775,
CHE,Switzerland,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.963,
CHE,Switzerland,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,83.063,
CHE,Switzerland,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,13.90448897,
CHL,Chile,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,11.11155533,
CHL,Chile,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,79.349,
CHL,Chile,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.856,
CHL,Chile,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,24752.84147,
CHL,Chile,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,16.34049988,
CHN,China,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,15.21793605,
CHN,China,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,18683.02015,
CHN,China,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.786,
CHN,China,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,78.019,
CHN,China,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,7.949999809,
CIV,Côte d'Ivoire,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,4.84285702,
CIV,Côte d'Ivoire,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,60.14,
CIV,Côte d'Ivoire,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.553,
CIV,Côte d'Ivoire,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,6057.456505,
CIV,Côte d'Ivoire,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,10.10165024,
CMR,Cameroon,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,10.97260818,
CMR,Cameroon,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,4609.762821,
CMR,Cameroon,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.579,
