26-03-07--06-25-36

comment=Configuration file for Kemeny Transformer training (Corrected and Flattened)
dim_input=10
dim_emb=128
dim_ff=512
numb_heads=8
numb_layers_decoder=3
numb_layers_encoder=2
max_len_PE=1000
conv_out_channels=64
batchnorm=True
embedding_type=linear
lr=0.0001
nb_epochs=1000
nb_batch_per_epoch=250
bsz=512
baseline_alpha=0.05
roll_out_bsz=2048
num_voters_range=[6, 10]
num_items_range=[90, 110]
phi_range=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.92, 0.94, 0.96, 0.98, 1.0]
data_generation_method=random_mix
sample_voters_from_range=True
sample_items_from_range=True
normalize_input=True
original_validation_data=True
checkpoint_file=None
checkpoint_dir=kemeny_transformer_checkpoint/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
save_every=5
validation_data_dir=validate_dataset
roll_out_log_dir=roll_out_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
validate_log_dir=validate_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
gpu_id=0,1

Epoch: 93, epoch time: 14.99min, tot time: 0.93day, kemeny_dis_train: 1875.443290, kemeny_dis_base: 1875.314549, update: False, training_phase: 2
Epoch: 94, epoch time: 14.94min, tot time: 0.94day, kemeny_dis_train: 1873.019577, kemeny_dis_base: 1873.019971, update: False, training_phase: 2
Epoch: 95, epoch time: 15.05min, tot time: 0.95day, kemeny_dis_train: 1879.581999, kemeny_dis_base: 1879.897653, update: True, training_phase: 2
Epoch: 96, epoch time: 14.96min, tot time: 0.96day, kemeny_dis_train: 1863.790789, kemeny_dis_base: 1864.121683, update: True, training_phase: 2
Epoch: 97, epoch time: 14.98min, tot time: 0.97day, kemeny_dis_train: 1879.662556, kemeny_dis_base: 1879.491258, update: False, training_phase: 2
Epoch: 98, epoch time: 14.91min, tot time: 0.98day, kemeny_dis_train: 1882.893269, kemeny_dis_base: 1882.697876, update: False, training_phase: 2
Epoch: 99, epoch time: 15.03min, tot time: 0.99day, kemeny_dis_train: 1878.428123, kemeny_dis_base: 1878.521320, update: True, training_phase: 2
Epoch: 100, epoch time: 15.04min, tot time: 1.00day, kemeny_dis_train: 1876.644512, kemeny_dis_base: 1876.573183, update: False, training_phase: 2
Epoch: 101, epoch time: 15.04min, tot time: 1.01day, kemeny_dis_train: 1889.786214, kemeny_dis_base: 1890.075168, update: True, training_phase: 2
Epoch: 102, epoch time: 14.98min, tot time: 1.02day, kemeny_dis_train: 1878.794615, kemeny_dis_base: 1878.666095, update: False, training_phase: 2
