26-03-11--08-13-30

comment=Configuration file for Kemeny Transformer training (Corrected and Flattened)
dim_input=10
dim_emb=128
dim_ff=512
numb_heads=8
numb_layers_decoder=3
numb_layers_encoder=2
max_len_PE=1000
conv_out_channels=64
batchnorm=True
embedding_type=linear
lr=0.0001
nb_epochs=1000
nb_batch_per_epoch=250
bsz=512
baseline_alpha=0.05
roll_out_bsz=2048
num_voters_range=[6, 10]
num_items_range=[90, 110]
phi_range=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.92, 0.94, 0.96, 0.98, 1.0]
data_generation_method=fine_tuning_mix
sample_voters_from_range=True
sample_items_from_range=True
normalize_input=True
original_validation_data=True
checkpoint_file=checkpoint_epoch_400.pkl
checkpoint_dir=kemeny_transformer_checkpoint/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
save_every=5
validation_data_dir=validate_dataset
roll_out_log_dir=roll_out_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
validate_log_dir=validate_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
gpu_id=0,1


Epoch: 477, epoch time: 10.58min, tot time: 4.03day, kemeny_dis_train: 1425.344989, kemeny_dis_base: 1425.277596, update: False, training_phase: 2
Epoch: 478, epoch time: 10.47min, tot time: 4.04day, kemeny_dis_train: 1437.406202, kemeny_dis_base: 1437.338485, update: False, training_phase: 2
Epoch: 479, epoch time: 10.82min, tot time: 4.05day, kemeny_dis_train: 1435.710934, kemeny_dis_base: 1435.603973, update: False, training_phase: 2
Epoch: 480, epoch time: 10.25min, tot time: 4.05day, kemeny_dis_train: 1432.018967, kemeny_dis_base: 1432.069778, update: False, training_phase: 2
Epoch: 481, epoch time: 13.63min, tot time: 4.06day, kemeny_dis_train: 1439.434335, kemeny_dis_base: 1439.499917, update: False, training_phase: 2
Epoch: 482, epoch time: 13.58min, tot time: 4.07day, kemeny_dis_train: 1446.064371, kemeny_dis_base: 1446.149476, update: False, training_phase: 2
Epoch: 483, epoch time: 13.58min, tot time: 4.08day, kemeny_dis_train: 1448.830678, kemeny_dis_base: 1448.656806, update: False, training_phase: 2
Epoch: 484, epoch time: 13.37min, tot time: 4.09day, kemeny_dis_train: 1415.368842, kemeny_dis_base: 1415.355786, update: False, training_phase: 2
Epoch: 485, epoch time: 13.91min, tot time: 4.10day, kemeny_dis_train: 1429.216953, kemeny_dis_base: 1429.205907, update: False, training_phase: 2
Epoch: 486, epoch time: 13.41min, tot time: 4.11day, kemeny_dis_train: 1430.803193, kemeny_dis_base: 1430.730715, update: False, training_phase: 2
Epoch: 487, epoch time: 13.36min, tot time: 4.12day, kemeny_dis_train: 1449.069748, kemeny_dis_base: 1448.880238, update: False, training_phase: 2
Epoch: 488, epoch time: 12.79min, tot time: 4.13day, kemeny_dis_train: 1449.770894, kemeny_dis_base: 1449.924989, update: True, training_phase: 2
Epoch: 489, epoch time: 11.40min, tot time: 4.14day, kemeny_dis_train: 1436.056550, kemeny_dis_base: 1436.168551, update: True, training_phase: 2
Epoch: 490, epoch time: 10.60min, tot time: 4.14day, kemeny_dis_train: 1428.559168, kemeny_dis_base: 1428.401654, update: False, training_phase: 2
Epoch: 491, epoch time: 10.31min, tot time: 4.15day, kemeny_dis_train: 1442.806731, kemeny_dis_base: 1442.700890, update: False, training_phase: 2
Epoch: 492, epoch time: 10.20min, tot time: 4.16day, kemeny_dis_train: 1434.962053, kemeny_dis_base: 1434.854725, update: False, training_phase: 2
Epoch: 493, epoch time: 10.21min, tot time: 4.17day, kemeny_dis_train: 1418.558292, kemeny_dis_base: 1418.572010, update: False, training_phase: 2
Epoch: 494, epoch time: 10.18min, tot time: 4.17day, kemeny_dis_train: 1423.735751, kemeny_dis_base: 1423.540427, update: False, training_phase: 2
Epoch: 495, epoch time: 10.28min, tot time: 4.18day, kemeny_dis_train: 1436.441358, kemeny_dis_base: 1436.330623, update: False, training_phase: 2
Epoch: 496, epoch time: 10.25min, tot time: 4.19day, kemeny_dis_train: 1442.778981, kemeny_dis_base: 1442.761843, update: False, training_phase: 2
Epoch: 497, epoch time: 10.28min, tot time: 4.19day, kemeny_dis_train: 1434.537896, kemeny_dis_base: 1434.618322, update: False, training_phase: 2
Epoch: 498, epoch time: 10.28min, tot time: 4.20day, kemeny_dis_train: 1423.481878, kemeny_dis_base: 1423.156721, update: False, training_phase: 2
Epoch: 499, epoch time: 10.30min, tot time: 4.21day, kemeny_dis_train: 1416.145629, kemeny_dis_base: 1415.421076, update: False, training_phase: 2
Epoch: 500, epoch time: 10.26min, tot time: 4.22day, kemeny_dis_train: 1418.271108, kemeny_dis_base: 1416.665696, update: False, training_phase: 2
Epoch: 501, epoch time: 10.32min, tot time: 4.22day, kemeny_dis_train: 1441.318813, kemeny_dis_base: 1440.158163, update: False, training_phase: 2
Epoch: 502, epoch time: 10.26min, tot time: 4.23day, kemeny_dis_train: 1433.254463, kemeny_dis_base: 1432.872123, update: False, training_phase: 2
Epoch: 503, epoch time: 10.27min, tot time: 4.24day, kemeny_dis_train: 1443.618212, kemeny_dis_base: 1443.403672, update: False, training_phase: 2
Epoch: 504, epoch time: 10.24min, tot time: 4.24day, kemeny_dis_train: 1434.108425, kemeny_dis_base: 1433.511008, update: False, training_phase: 2
Epoch: 505, epoch time: 10.25min, tot time: 4.25day, kemeny_dis_train: 1430.564456, kemeny_dis_base: 1430.350125, update: False, training_phase: 2
Epoch: 506, epoch time: 10.25min, tot time: 4.26day, kemeny_dis_train: 1430.771658, kemeny_dis_base: 1430.756444, update: False, training_phase: 2
Epoch: 507, epoch time: 10.28min, tot time: 4.27day, kemeny_dis_train: 1434.504264, kemeny_dis_base: 1434.262268, update: False, training_phase: 2
Epoch: 508, epoch time: 10.24min, tot time: 4.27day, kemeny_dis_train: 1434.224365, kemeny_dis_base: 1434.030549, update: False, training_phase: 2
